Date,total_pnl,avg_pnl_per_trade,trade_count,pnl_volatility,total_volume,avg_trade_size,active_traders,buy_ratio,win_rate,profit_factor,classification,value,sentiment_score
12/19/2024,62744.0045,18.7913,3339,219.8236,8241709.39,2468.3167,13,0,0.614854747,0.761298434,Extreme Greed,75,5
12/20/2024,254969.66,102.4798,2488,462.262,7681274.71,3087.3291,15,0,0.555868167,3.319366507,Greed,74,4
12/21/2024,150022.1632,89.2458,1681,263.0366,4382875.12,2607.3023,8,0,0.549672814,3.422916672,Greed,73,4
12/22/2024,352197.164,455.0351,774,1859.8435,3087320.22,3988.7858,8,0,0.435400517,11.40785986,Greed,73,4
12/23/2024,-29430.6266,-12.5397,2347,714.3762,6771878.26,2885.3337,14,0,0.290157648,-0.434600645,Greed,70,4
12/24/2024,14813.7801,43.8278,338,352.0042,1767036.11,5227.9175,11,0,0.337278107,0.838340542,Greed,73,4
12/25/2024,756.657,3.6378,208,89.437,347889.35,1672.545,6,0,0.302884615,0.217499328,Greed,73,4
12/26/2024,60228.6397,86.4112,697,837.1573,2205242.65,3163.9062,7,0,0.513629842,2.731157032,Extreme Greed,79,5
12/27/2024,2672.811,10.28,260,55.8138,347913,1338.1269,7,0,0.423076923,0.768241198,Greed,74,4
12/28/2024,940.6736,5.8427,161,29.8573,281555.01,1748.7889,7,0,0.229813665,0.3340994,Greed,72,4
12/29/2024,2884.0679,14.3486,201,84.8433,344628.54,1714.5699,7,0,0.31840796,0.836862757,Greed,73,4
12/30/2024,9009.7381,29.6373,304,198.7296,1073865.73,3532.4531,9,0,0.394736842,0.839000431,Greed,65,4
12/31/2024,5445.0128,17.7942,306,108.9969,877164.62,2866.551,6,0,0.300653595,0.62075153,Greed,64,4
1/1/2025,-9528.0653,-99.2507,96,989.3224,282582.1,2943.5635,6,0,0.302083333,-3.371786571,Greed,66,4
1/2/2025,8716.5191,24.1455,361,117.6538,774674.84,2145.9137,9,0,0.457063712,1.125184226,Greed,70,4
1/3/2025,6028.4868,11.8671,508,63.3635,771208.99,1518.1279,9,0,0.271653543,0.781693014,Greed,74,4
1/4/2025,2553.538,6.8829,371,75.4467,1826029.62,4921.9127,9,0,0.202156334,0.139840996,Greed,73,4
1/5/2025,3187.7194,13.3377,239,59.8819,451943.57,1890.9773,8,0,0.418410042,0.705335713,Greed,72,4
1/6/2025,6064.1854,10.5832,573,104.1908,556526.99,971.2513,7,0,0.155322862,1.089648033,Extreme Greed,76,5
1/7/2025,16098.2275,25.2719,637,79.2582,1313178.1,2061.5041,6,0,0.761381476,1.225898262,Extreme Greed,78,5
1/8/2025,130117.0906,125.233,1039,2408.3682,3177275.18,3058.0127,11,0,0.371511068,4.095241464,Greed,70,4
1/9/2025,46975.9289,89.9922,522,658.1149,1020733.25,1955.4277,7,0,0.277777778,4.602174848,Greed,69,4
1/10/2025,-10116.8756,-12.3527,819,816.5241,6547449.68,7994.4441,7,0,0.527472527,-0.154516279,Neutral,50,3
1/11/2025,2269.0805,8.018,283,43.4309,1658098.71,5859.006,7,0,0.243816254,0.136848336,Greed,69,4
1/12/2025,5742.2418,9.5386,602,150.4637,2258459.17,3751.5933,7,0,0.784053156,0.254254842,Greed,62,4
1/13/2025,9655.4294,23.6653,408,77.4002,2936648.01,7197.6667,11,0,0.387254902,0.328790831,Greed,61,4
1/14/2025,16069.5124,58.4346,275,146.3204,876581.97,3187.5708,9,0,0.498181818,1.833201338,Greed,63,4
